Sl.No.,District _Name,Taluk_Name,Village_Name,Name_of_Monuments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Kolar,Kolar,Alangiri,Bhara Imam Makan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Kolar,Kolar,Kivara,Ishwara Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Kolar,Kolar,Seethy,Sripathishwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Kolar,Kolar,Okalegere,Markandeshwara Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Kolar,Malur,Madivala,Swamyambhuveshwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Kolar,Mulabhagilu,Devaraja Samudra village,"Garudashayana Big, Garudashayana Small, Agnistomas Huge rock Thope well, Brindavan Adjacent to Thope well, Garabhavi, Mantapa towards western side of Garabhavi, Anjaneyaswamy Temple and Pushkarni.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Kolar,Mulabhagilu,Kurudumale,Someshwara Temple and Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Kolar,Mulabhagilu,Kurudumale,Vinayaka Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Kolar,Mulabhagilu,Mulahagilu,Hydarali Darga.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Kolar,Mulabhagilu,Mulahagilu,Srioadarayara Brundavana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Kolar,Mulabhagilu,Mulahagilu,Vittalanarayana Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Kolar,Mulabhagilu,Virupakshapura,Ishwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,MANDYA,PANDAVAPURA,THONNUR,VENUGOPALASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,KRISHNAMURTHY BUNGALOW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,MUMUDI KRISHNARAJA WODEYAR BIRTH PLACE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,SRIRANGANAPATNA FORT. AND MOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,BATERI (2 NO.).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,GUN POWDER STORES (8 NOS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,HANGING – BRIDGE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,RANAGAMBHA (2 NOS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,(RUINED PALACE OF MIRSADHIK.)MASIDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,TUPPADA-KOLA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,MANDYA,PANDAVAPURA,SHREERANGAPATTNA,BRITISH GARASION CEMETERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,HASSAN,ARKALGUD,MALLARAJAPATNA,LAKSHMANESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,HASSAN,ARKALGUD,RAMANATHAPURA,RAMESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,HASSAN,ARSIKERE,HARANAHALLI,KESHAVA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,HASSAN,ARSIKERE,HARANAHALLI,SOMESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,HASSAN,ARSIKERE,HULEKERE,CHANNAKESHAVA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,HASSAN,ARSIKERE,JAVAGAL,NARASIMHA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,HASSAN,ARSIKERE,MAVATHANAHALLI,MAHALINGESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,HASSAN,BELUR,CHETTANNAHALLI,CHATTESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,HASSAN,BELUR,HALEBIDU,RANGANATHA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,HASSAN,BELUR,HALEBIDU,VEERABHADRA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,HASSAN,BELUR,KASHIPURA GRAMA ,KASHESWHARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,HASSAN,CHANNARAYAPATNA,ANATHI,LAKSHMINARAYANA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,HASSAN,CHANNARAYAPATNA,HEBBALALU,SINGESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,HASSAN,CHANNARAYAPATNA,JINANATHAPURA,SANTHINATHA BASADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
